win,ov,acc,std
15,0.0,0.4994537554314091,0.025364852689859465
15,0.25,0.5241976199062388,0.03931900502119325
15,0.5,0.5180886989644853,0.029602719468688726
30,0.0,0.5325848703555198,0.0772321550723243
30,0.25,0.5338080959520239,0.06972416958853102
30,0.5,0.5394918203967978,0.061382963653770634
60,0.0,0.5574358974358974,0.05902534028304503
60,0.25,0.5954577218728162,0.03518183669616478
60,0.5,0.5708133971291866,0.054884770742578914
120,0.0,0.630718954248366,0.11271430857411668
120,0.25,0.6276679841897234,0.04156028277658473
120,0.5,0.6172413793103448,0.08670964512556584
